Year,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Value
2019,F,,Q3,ISCED11_3,0
2005,F,,Q4,ISCED11_1,94
2010,F,,Q4,ISCED11_1,96
2014,F,,Q4,ISCED11_1,93
2015,F,,Q4,ISCED11_1,94
2019,F,,Q4,ISCED11_1,96
2005,F,,Q4,ISCED11_2,68
2010,F,,Q4,ISCED11_2,85
2014,F,,Q4,ISCED11_2,78
2015,F,,Q4,ISCED11_2,83
2019,F,,Q4,ISCED11_2,65
2005,F,,Q4,ISCED11_3,2
2010,F,,Q4,ISCED11_3,9
2014,F,,Q4,ISCED11_3,6
2015,F,,Q4,ISCED11_3,8
2019,F,,Q4,ISCED11_3,11
2005,F,,Q5,ISCED11_1,97
2010,F,,Q5,ISCED11_1,98
2014,F,,Q5,ISCED11_1,95
2015,F,,Q5,ISCED11_1,98
2019,F,,Q5,ISCED11_1,99
2005,F,,Q5,ISCED11_2,85
2010,F,,Q5,ISCED11_2,91
2014,F,,Q5,ISCED11_2,91
2015,F,,Q5,ISCED11_2,94
2019,F,,Q5,ISCED11_2,83
2005,F,,Q5,ISCED11_3,10
2010,F,,Q5,ISCED11_3,27
2014,F,,Q5,ISCED11_3,24
2015,F,,Q5,ISCED11_3,32
2019,F,,Q5,ISCED11_3,28
2005,F,R,,ISCED11_1,84
2010,F,R,,ISCED11_1,88
2012,F,R,,ISCED11_1,83
2014,F,R,,ISCED11_1,88
2015,F,R,,ISCED11_1,86
2019,F,R,,ISCED11_1,89
2005,F,R,,ISCED11_2,46
2010,F,R,,ISCED11_2,60
2012,F,R,,ISCED11_2,63
2014,F,R,,ISCED11_2,66
2015,F,R,,ISCED11_2,62
2019,F,R,,ISCED11_2,41
2005,F,R,,ISCED11_3,1
2010,F,R,,ISCED11_3,4
2012,F,R,,ISCED11_3,3
2014,F,R,,ISCED11_3,2
2015,F,R,,ISCED11_3,3
2019,F,R,,ISCED11_3,0
2005,F,R,Q1,ISCED11_1,74
2010,F,R,Q1,ISCED11_1,78
2014,F,R,Q1,ISCED11_1,82
2015,F,R,Q1,ISCED11_1,76
2019,F,R,Q1,ISCED11_1,81
2005,F,R,Q1,ISCED11_2,23
2010,F,R,Q1,ISCED11_2,35
2014,F,R,Q1,ISCED11_2,50
2015,F,R,Q1,ISCED11_2,39
2019,F,R,Q1,ISCED11_2,18
2005,F,R,Q1,ISCED11_3,0
2010,F,R,Q1,ISCED11_3,1
2014,F,R,Q1,ISCED11_3,0
2015,F,R,Q1,ISCED11_3,0
2019,F,R,Q1,ISCED11_3,0
2005,F,R,Q2,ISCED11_1,81
2010,F,R,Q2,ISCED11_1,86
2014,F,R,Q2,ISCED11_1,89
2015,F,R,Q2,ISCED11_1,82
2019,F,R,Q2,ISCED11_1,91
2005,F,R,Q2,ISCED11_2,38
2010,F,R,Q2,ISCED11_2,61
2014,F,R,Q2,ISCED11_2,64
2015,F,R,Q2,ISCED11_2,56
2019,F,R,Q2,ISCED11_2,39
2005,F,R,Q2,ISCED11_3,0
2010,F,R,Q2,ISCED11_3,1
2014,F,R,Q2,ISCED11_3,0
2015,F,R,Q2,ISCED11_3,0
2019,F,R,Q2,ISCED11_3,0
2005,F,R,Q3,ISCED11_1,89
2010,F,R,Q3,ISCED11_1,93
2014,F,R,Q3,ISCED11_1,93
2015,F,R,Q3,ISCED11_1,93
2019,F,R,Q3,ISCED11_1,90
2005,F,R,Q3,ISCED11_2,61
2010,F,R,Q3,ISCED11_2,68
2014,F,R,Q3,ISCED11_2,74
2015,F,R,Q3,ISCED11_2,74
2019,F,R,Q3,ISCED11_2,44
2005,F,R,Q3,ISCED11_3,0
2010,F,R,Q3,ISCED11_3,4
2014,F,R,Q3,ISCED11_3,1
2015,F,R,Q3,ISCED11_3,1
2019,F,R,Q3,ISCED11_3,0
2005,F,R,Q4,ISCED11_1,96
2010,F,R,Q4,ISCED11_1,94
2014,F,R,Q4,ISCED11_1,91
2015,F,R,Q4,ISCED11_1,91
2019,F,R,Q4,ISCED11_1,95
2005,F,R,Q4,ISCED11_2,63
2010,F,R,Q4,ISCED11_2,72
2014,F,R,Q4,ISCED11_2,71
2015,F,R,Q4,ISCED11_2,77
2019,F,R,Q4,ISCED11_2,65
2005,F,R,Q4,ISCED11_3,2
2010,F,R,Q4,ISCED11_3,15
2014,F,R,Q4,ISCED11_3,5
2015,F,R,Q4,ISCED11_3,9
2019,F,R,Q4,ISCED11_3,0
2005,F,R,Q5,ISCED11_1,0
2010,F,R,Q5,ISCED11_1,99
2014,F,R,Q5,ISCED11_1,86
2015,F,R,Q5,ISCED11_1,0
2019,F,R,Q5,ISCED11_1,0
2005,F,R,Q5,ISCED11_2,0
2010,F,R,Q5,ISCED11_2,94
2014,F,R,Q5,ISCED11_2,91
2015,F,R,Q5,ISCED11_2,0
2019,F,R,Q5,ISCED11_2,100
2005,F,R,Q5,ISCED11_3,0
2010,F,R,Q5,ISCED11_3,19
2014,F,R,Q5,ISCED11_3,9
2015,F,R,Q5,ISCED11_3,0
2019,F,R,Q5,ISCED11_3,0
2005,F,U,,ISCED11_1,96
2010,F,U,,ISCED11_1,95
2012,F,U,,ISCED11_1,95
2014,F,U,,ISCED11_1,96
2015,F,U,,ISCED11_1,97
2019,F,U,,ISCED11_1,98
2005,F,U,,ISCED11_2,80
2010,F,U,,ISCED11_2,88
2012,F,U,,ISCED11_2,88
2014,F,U,,ISCED11_2,89
2015,F,U,,ISCED11_2,92
2019,F,U,,ISCED11_2,74
2005,F,U,,ISCED11_3,7
2010,F,U,,ISCED11_3,18
2012,F,U,,ISCED11_3,18
2014,F,U,,ISCED11_3,18
2015,F,U,,ISCED11_3,22
2019,F,U,,ISCED11_3,21
2005,F,U,Q1,ISCED11_1,0
2010,F,U,Q1,ISCED11_1,0
2015,F,U,Q1,ISCED11_1,0
2005,F,U,Q1,ISCED11_2,0
2010,F,U,Q1,ISCED11_2,0
2015,F,U,Q1,ISCED11_2,0
2005,F,U,Q1,ISCED11_3,0
2010,F,U,Q1,ISCED11_3,0
2015,F,U,Q1,ISCED11_3,0
2005,F,U,Q2,ISCED11_1,0
2010,F,U,Q2,ISCED11_1,0
2015,F,U,Q2,ISCED11_1,0
2005,F,U,Q2,ISCED11_2,0
