Year,SERIES,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,Value
1979,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,3.29704
1980,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,14.42068
1981,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,12.52542
1982,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,2.6343
1983,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,1.58531
1984,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-1.90736
1985,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,6.94439
1986,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,2.09903
1987,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,1.15074
1988,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,7.55237
1989,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,5.19977
1990,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,6.98855
1991,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,5.53178
1992,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-9.01557
1993,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,1.05146
1994,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,9.2352
1995,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,0.15803
1996,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,10.3607
1997,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,2.68059
1998,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,2.88521
1999,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-0.81782
2000,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-3.05919
2001,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,1.43962
2002,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-8.89402
2003,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-16.99507
2004,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-5.80754
2005,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-5.71108
2006,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-3.4615
2007,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-3.65333
2008,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-17.66895
2009,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,12.01956
2010,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,21.45206
2011,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,14.62021
2012,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,15.74488
2013,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,3.19673
2014,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,1.48454
2015,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,2.02365
2016,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,0.90096
2017,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,4.08026
2018,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,5.00987
2019,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-6.33245
2020,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,-7.81695
2021,NY_GDP_MKTP_KD_ZG,,PT,2023-03-12,8.46802
2000,NY_GDP_PCAP,,PT,2023-05-01,-9.09
2001,NY_GDP_PCAP,,PT,2023-05-01,-0.83
2002,NY_GDP_PCAP,,PT,2023-05-01,-6.52
2003,NY_GDP_PCAP,,PT,2023-05-01,-8.16
2004,NY_GDP_PCAP,,PT,2023-05-01,-4.32
2005,NY_GDP_PCAP,,PT,2023-05-01,-4.56
2006,NY_GDP_PCAP,,PT,2023-05-01,-4.45
2007,NY_GDP_PCAP,,PT,2023-05-01,-4.2
2008,NY_GDP_PCAP,,PT,2023-05-01,-5.5
2009,NY_GDP_PCAP,,PT,2023-05-01,57.9
2010,NY_GDP_PCAP,,PT,2023-05-01,18.18
2011,NY_GDP_PCAP,,PT,2023-05-01,12.56
2012,NY_GDP_PCAP,,PT,2023-05-01,14.56
2013,NY_GDP_PCAP,,PT,2023-05-01,-0.19
2014,NY_GDP_PCAP,,PT,2023-05-01,0.16
2015,NY_GDP_PCAP,,PT,2023-05-01,-0.37
2016,NY_GDP_PCAP,,PT,2023-05-01,-1.32
2017,NY_GDP_PCAP,,PT,2023-05-01,2.59
2018,NY_GDP_PCAP,,PT,2023-05-01,2.61
2019,NY_GDP_PCAP,,PT,2023-05-01,-7.95
2020,NY_GDP_PCAP,,PT,2023-05-01,-7.2
2021,NY_GDP_PCAP,,PT,2023-05-01,4.15
2000,SL_EMP_PCAP,,PT,2023-03-20,-4.89
2001,SL_EMP_PCAP,,PT,2023-03-20,0.15
2002,SL_EMP_PCAP,,PT,2023-03-20,-9.75
2003,SL_EMP_PCAP,,PT,2023-03-20,-17.77
2004,SL_EMP_PCAP,,PT,2023-03-20,-6.51
2005,SL_EMP_PCAP,,PT,2023-03-20,-5.64
2006,SL_EMP_PCAP,,PT,2023-03-20,-3.8
2007,SL_EMP_PCAP,,PT,2023-03-20,-4.18
2008,SL_EMP_PCAP,,PT,2023-03-20,-17.86
2009,SL_EMP_PCAP,,PT,2023-03-20,11.26
2010,SL_EMP_PCAP,,PT,2023-03-20,18.74
2011,SL_EMP_PCAP,,PT,2023-03-20,13.11
2012,SL_EMP_PCAP,,PT,2023-03-20,14.3
2013,SL_EMP_PCAP,,PT,2023-03-20,-0.6
2014,SL_EMP_PCAP,,PT,2023-03-20,-0.52
2015,SL_EMP_PCAP,,PT,2023-03-20,-0.42
2016,SL_EMP_PCAP,,PT,2023-03-20,-1.45
2017,SL_EMP_PCAP,,PT,2023-03-20,2.5
2018,SL_EMP_PCAP,,PT,2023-03-20,2.75
2019,SL_EMP_PCAP,,PT,2023-03-20,-7.83
2020,SL_EMP_PCAP,,PT,2023-03-20,-6.13
2021,SL_EMP_PCAP,,PT,2023-03-20,4.03
2022,SL_EMP_PCAP,,PT,2023-03-20,-0.35
